AEROENG2001,,,,,,,,,,,,,,
ELECENG5870/MECHENG5478/COMPENG5820/AEROENG5478,MECHENG4479,,,,,,,,,,,,,
MECHENG4479,MECHENG3411,,,,,,,,,,,,,
AEROENG5481/MECHENG5481,AEROENG3361,MECHENG4479,,,,,,,,,,,,
AEROENG5519/MECHENG5519,MECHENG2519,,,,,,,,,,,,,
MECHENG5525/AEROENG5525,MECHENG3525,,,,,,,,,,,,,
MECHENG3525,MECHENG2519,MATH3304,COMPSCI1971,COMPSCI1970,COMPSCI1972/COMPSCI1982,COMPSCI1570/COMPSCI1580,,,,,,,,
AEROENG5527/MECHENG5527,MECHENG3521,,,,,,,,,,,,,
MECHENG3521,MECHENG2519,,,,,,,,,,,,,
AEROENG5535,AEROENG4535,,,,,,,,,,,,,
AEROENG5539/MECHENG5539,CIVENG2210,MECHENG2519,,,,,,,,,,,,
NUCENG5370/NUCENG4370/PHYSICS4543/AEROENG5570/MECHENG5570,AEROENG3131,MECHENG3131,ELECENG3600,PHYSICS3211,NUCENG3221,,,,,,,,,
ELECENG3600,MATH3304,PHYSICS2135,ELECENG2101,ELECENG2120,,,,,,,,,,
PHYSICS3211,PHYSICS2401,,,,,,,,,,,,,
NUCENG3221,MECHENG2519,MATH3304,MECHENG2527,,,,,,,,,,,
AEROENG5614,AEROENG3613,,,,,,,,,,,,,
AEROENG5758,MECHENG3313,AEROENG3251,ENGMGT5711,MECHENG5653,MECHENG3708,ENGMGT5714,,,,,,,,
ENGMGT5711,,,,,,,,,,,,,,
MECHENG5653,MECHENG3653,,,,,,,,,,,,,
MECHENG3708,CIVENG2200,AEROENG3877/PHYSICS4523/METENG5810/CHEMENG5300/CERENG5810,METENG2110,MECHENG2653,MECHENG2761,,,,,,,,,
ENGMGT5714,STAT3117,STAT3115,,,,,,,,,,,,
MECHENG5760/AEROENG5760,AEROENG3361,MECHENG3708,,,,,,,,,,,,
MECHENG5830/AEROENG5830,MATH3304,COMPSCI1971,COMPSCI1970,COMPSCI1972/COMPSCI1982,COMPSCI1570/COMPSCI1580,,,,,,,,,
ARCHENG2001,,,,,,,,,,,,,,
ARCHENG2002,,,,,,,,,,,,,,
CIVENG2003/ARCHENG2003,,,,,,,,,,,,,,
ARCHENG2103,CHEM1319,CHEM1310,,,,,,,,,,,,
CHEM1319,CHEM1310,CHEM1100,,,,,,,,,,,,
CHEM1310,,,,,,,,,,,,,,
ARCHENG3000,,,,,,,,,,,,,,
ARCHENG3001,,,,,,,,,,,,,,
ARCHENG3201/CIVENG3201,CIVENG2200,CIVENG2210,,,,,,,,,,,,
