ACCT200,ECON112,,,,,,,,,,,,,,,AND,ACCT,3
ACCT210,ACCT200,,,,,,,,,,,,,,,AND,ACCT,3
ACCT301,ACCT200,,,,,,,,,,,,,,,AND,ACCT,3
ACCT302,ACCT301,,,,,,,,,,,,,,,AND,ACCT,3
ACCT303,ACCT302,,,,,,,,,,,,,,,AND,ACCT,3
ACCT311,ACCT200,MS251,,,,,,,,,,,,,,AND,ACCT,3
ACCT312,ACCT210,ACCT311,,,,,,,,,,,,,,OR,ACCT,3
ACCT315,ACCT200,,,,,,,,,,,,,,,AND,ACCT,3
ACCT321,ACCT200,,,,,,,,,,,,,,,AND,ACCT,3
ACCT340,ACCT200,,,,,,,,,,,,,,,AND,ACCT,3
ACCT396,ACCT301,,,,,,,,,,,,,,,AND,ACCT,3
ACCT401,ACCT302,,,,,,,,,,,,,,,AND,ACCT,3
ACCT421,ACCT321,,,,,,,,,,,,,,,AND,ACCT,3
ACCT431,ACCT302,ACCT315,,,,,,,,,,,,,,AND,ACCT,3
ACCT441,ACCT315,,,,,,,,,,,,,,,AND,ACCT,3
ACCT490,,,,,,,,,,,,,,,,AND,ACCT,3
ACS101,,,,,,,,,,,,,,,,AND,ACS,1
ACS103,,,,,,,,,,,,,,,,AND,ACS,1
ACS200,ACS101,,,,,,,,,,,,,,,OR,ACS,1
ACS201,,,,,,,,,,,,,,,,AND,ACS,1
ACS203,,,,,,,,,,,,,,,,AND,ACS,1
ACS204,,,,,,,,,,,,,,,,AND,ACS,1
ACS210,,,,,,,,,,,,,,,,AND,ACS,1
ACS213,,,,,,,,,,,,,,,,AND,ACS,1
ACS261,ACS101,ACS204,,,,,,,,,,,,,,OR,ACS,1
ACS270,,,,,,,,,,,,,,,,AND,ACS,1
ACS300,,,,,,,,,,,,,,,,AND,ACS,1
ACS303,ACS203,,,,,,,,,,,,,,,OR,ACS,1
ACS304,,,,,,,,,,,,,,,,AND,ACS,1
ACS305,,,,,,,,,,,,,,,,AND,ACS,1
ACS309,,,,,,,,,,,,,,,,AND,ACS,1
ACS311,,,,,,,,,,,,,,,,AND,ACS,1
